Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Romance, Drama",es,2010-12-03,7.8,unconscious;embodied;illegal,Three Steps Above Heaven
"Comedy, Drama",ko,2021-08-11,7.1,minute;mere;gigantic,Sinkhole
"Action, Thriller",en,2010-05-22,7.5,winner;severely;freedom,Undisputed III: Redemption
"Animation, Adventure, Family, Comedy",en,1995-10-30,8.0,woody;losing;differences,Toy Story
"Family, Fantasy, Adventure, Comedy, Horror",en,2020-10-25,6.5,whisks;resort;1967,Roald Dahl's The Witches
"Comedy",es,2021-12-25,3.5,because;yeat;security,El Paseo 6
"Horror, Drama",en,2021-04-30,5.7,solace;dead;mother,Separation
"Animation, Science Fiction, Action",ja,2022-04-22,0.0,destroyed;people;once,Dragon Ball Super: Super Hero
"Romance",en,2022-08-25,0.0,so;fell;met,After Ever Happy
"Drama, Thriller, War",en,2009-01-22,7.1,tommy;presumed;helicopter,Brothers
"Animation, Comedy, Fantasy, Adventure, Family",en,2001-05-18,7.7,likable;named;ogre,Shrek
"Action, Comedy, Documentary",en,2022-02-01,7.1,rest;wildly;final,Jackass Forever
"Adventure, Family, Animation, Action, Comedy",en,2014-10-24,7.8,form;develops;team,Big Hero 6
"Animation, Comedy, Fantasy",en,2021-04-02,7.5,some;occupy;pets,Monster Pets: A Hotel Transylvania Short
"Romance, Comedy",es,2015-03-03,6.2,easy;move;unemployment,Off Course
"Action, Adventure, Fantasy",en,2014-12-10,7.3,others;smaug;erebor's,The Hobbit: The Battle of the Five Armies
"Action, Adventure",ru,2021-04-01,6.8,make;known;perfect,Major Grom: Plague Doctor
"Animation, Family",en,2021-01-13,7.1,baba;bats;mummy,Monster Family 2
"Action, Crime, Thriller",en,2021-07-14,6.4,sam;assassin;8-year-old,Gunpowder Milkshake
"Crime, Horror",ja,1986-01-18,4.0,abuses;breaks;sisters,Beautiful Sisters: Flesh Slave
"Action, Drama, Crime",en,2021-01-22,6.7,lee;potts;writer,Narco Sub
"Adventure, Fantasy, Mystery",en,2007-06-28,7.7,select;umbridge;truth,Harry Potter and the Order of the Phoenix
"Crime, Thriller",en,2015-09-09,6.9,want;orchestrate;rackets,Legend
"Animation, Comedy, Mystery, Family, Fantasy",en,2021-09-14,8.2,muriel;kansas;gang,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog
"TV Movie, Animation, Comedy, Family, Drama",en,2021-08-13,7.0,i;say;couple,Descendants: The Royal Wedding
