Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
Horror, Drama, Thriller,it,1972-10-14,5.7,second;murdered;may,What the Peeper Saw
Action, Crime,en,2023-04-06,0.0,tenth;fast;saga,Fast & Furious 10
Action, Crime, Drama, Thriller,en,2012-07-16,7.8,late;bane;police,The Dark Knight Rises
Animation, Fantasy, Family,en,2021-11-26,7.6,plans;swap;gift,Trolls Holiday in Harmony
Action, Adventure, Fantasy,en,2016-03-23,5.9,known;danger;putting,Batman v Superman: Dawn of Justice
Thriller, Horror,en,2021-09-01,7.2,suspect;live;beth,Motherly
Action, Crime, Thriller,en,2021-03-18,8.2,night;neighbor;dad,Nobody
Animation, Action, Adventure, Fantasy,ja,2018-08-03,8.0,abroad;i-island;1-a,My Hero Academia: Two Heroes
Adventure, Fantasy,en,2009-07-07,7.7,intent;hogwarts;lord,Harry Potter and the Half-Blood Prince
Comedy, Romance,en,2022-01-06,5.3,tour;henry;conduct,Book of Love
Action, Science Fiction, Thriller,en,2021-08-26,5.0,park;manager;trophy,Jurassic Hunt
Drama,en,2021-12-25,7.2,mvp;champion;two-time,American Underdog
Drama, Action, Crime, Thriller,en,2008-07-14,8.5,organizations;dent;attorney,The Dark Knight
Animation, Action, Adventure, Mystery,ja,2021-02-24,7.8,gojo;convinces;high,Jujutsu Kaisen 0
Action, Crime, Drama, Thriller,en,2020-07-02,5.7,job;wrong;assassin,Ava
Romance, Drama,es,2010-12-03,7.8,boy;improbable;babi,Three Steps Above Heaven
Comedy, Drama,ko,2021-08-11,7.1,hundreds;they’re;party,Sinkhole
Action, Thriller,en,2010-05-22,7.5,suffered;reclaim;freedom,Undisputed III: Redemption
Animation, Adventure, Family, Comedy,en,1995-10-30,8.0,live;buzz;losing,Toy Story
Family, Fantasy, Adventure, Comedy, Horror,en,2020-10-25,6.5,seaside;arrive;grandma,Roald Dahl's The Witches
Comedy,es,2021-12-25,3.5,sarita;excursion;nightmare,El Paseo 6
Horror, Drama,en,2021-04-30,5.7,artist;dead;ghost,Separation
Animation, Science Fiction, Action,ja,2022-04-22,0.0,ribbon;once;1,Dragon Ball Super: Super Hero
Romance,en,2022-08-25,0.0,truth;fourth;shocking,After Ever Happy
Drama, Thriller, War,en,2009-01-22,7.1,surprise;look;brother,Brothers
Animation, Comedy, Fantasy, Adventure, Family,en,2001-05-18,7.7,shrek;especially;green,Shrek
Action, Comedy, Documentary,en,2022-02-01,7.1,joy;celebrate;some,Jackass Forever
Adventure, Family, Animation, Action, Comedy,en,2014-10-24,7.8,between;robot;plus-sized,Big Hero 6
Animation, Comedy, Fantasy,en,2021-04-02,7.5,drac;some;tinkles,Monster Pets: A Hotel Transylvania Short
Romance, Comedy,es,2015-03-03,6.2,move;expected;tired,Off Course
Action, Adventure, Fantasy,en,2014-12-10,7.3,fueled;lord;dwarves,The Hobbit: The Battle of the Five Armies
Action, Adventure,ru,2021-04-01,6.8,tirelessly;incredible;standing,Major Grom: Plague Doctor
Animation, Family,en,2021-01-13,7.1,starr;three;make,Monster Family 2
Action, Crime, Thriller,en,2021-07-14,6.4,unleashed;gang;middle,Gunpowder Milkshake
Crime, Horror,ja,1986-01-18,4.0,sisters;apartment;physically,Beautiful Sisters: Flesh Slave
Action, Drama, Crime,en,2021-01-22,6.7,shawn;criminal;h,Narco Sub
Adventure, Fantasy, Mystery,en,2007-06-28,7.7,train;umbridge;voldemort,Harry Potter and the Order of the Phoenix
Crime, Thriller,en,2015-09-09,6.9,using;hot;murders,Legend
Animation, Comedy, Mystery, Family, Fantasy,en,2021-09-14,8.2,kansas;courage;winged,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog
TV Movie, Animation, Comedy, Family, Drama,en,2021-08-13,7.0,continues;i;celebration,Descendants: The Royal Wedding
Family, Animation, Adventure, Comedy, Fantasy,en,2019-11-20,7.3,elsa;head;kristoff,Frozen II
Horror, Action,en,2021-08-13,7.5,flooded;shark;hungry,Swim
Drama, Science Fiction,zh,2021-08-27,6.6,plants;research;gradually,Mutation on Mars
Science Fiction, Thriller, Mystery,en,2021-09-03,5.5,creator;colony;near,Zone 414
Fantasy, Adventure,en,2011-07-07,8.1,things;vanquish;formidable,Harry Potter and the Deathly Hallows: Part 2
Action, Adventure, Science Fiction,en,2015-04-22,7.3,dormant;hangs;ultimate,Avengers: Age of Ultron
Action, Adventure, Fantasy, Science Fiction,en,2017-10-24,7.6,universe;side;ragnarok,Thor: Ragnarok
Horror, Fantasy,en,2019-09-04,6.9,members;grown;derry,It Chapter Two
Family, Animation, Drama,en,1994-06-23,8.3,paw;decide;outcast,The Lion King
Drama, History,en,2021-11-18,8.0,richard;williams;how,King Richard
Thriller, Horror, Mystery,en,2021-10-21,7.5,dazzling;idol;design,Last Night in Soho
Action, Fantasy,en,1992-06-19,6.9,employee;deformed;calling,Batman Returns
Adventure, Fantasy, Drama, Romance,en,2010-06-23,6.2,surrounded;malicious;continues,The Twilight Saga: Eclipse
Crime, Drama, Thriller,en,2021-09-03,6.4,fractured;goes;violent,Wild Indian
Comedy,en,2012-03-01,6.8,party;spreads;three,Project X
Action,en,2021-08-19,6.6,mouse;ends;whose,The Protégé
Crime, Thriller, Drama, Action,en,2021-11-05,5.9,ida;job;wyatt,Ida Red
Horror, Thriller,en,2013-01-14,5.6,sleep;tooth;loss,The Haunting of Helena
Action, Adventure, Crime,zh,2020-09-30,6.3,vanguard;company;world's,Vanguard
Adventure, Fantasy, Action,en,2003-07-09,7.8,quarrels;pirate;18th-century,Pirates of the Caribbean: The Curse of the Black Pearl
Animation, Comedy, Family,en,2021-07-07,7.5,face;yet;loki,The Simpsons: The Good, the Bart, and the Loki
Action, Thriller, Crime,en,2021-01-15,7.0,quiet;hanson’s;desperate,The Marksman
Adventure, Family, Drama,fr,2021-12-15,7.3,shepherd;quickly;silent,Vicky and Her Mystery
Animation, Adventure, Comedy, Fantasy,ja,2019-08-30,8.4,village;brush;forces,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson
Drama, Crime,pt,2021-10-22,7.1,human;struggle;living,7 Prisoners
Documentary,es,2022-02-23,6.5,march;including;11,11M
Science Fiction, Action,ko,2021-04-12,7.6,clone;human;seobok,Seobok: Project Clone
Animation, Family, Comedy, Fantasy, Adventure,en,2004-05-19,7.2,sets;destroying;everyone,Shrek 2
Adventure, Fantasy, Family,en,2010-02-01,6.2,accident;gods;needed,Percy Jackson & the Olympians: The Lightning Thief
Romance, Animation, Drama,ja,2016-08-26,8.5,night;randomly;taki,Your Name.
Comedy,en,2021-12-17,5.9,do;if;spend,Chief Daddy 2: Going for Broke
Adventure, Action, Science Fiction,en,2016-04-27,7.4,opinion;activity;age,Captain America: Civil War
Crime, Thriller, Drama,en,2019-10-02,8.2,insane;during;comedian,Joker
Crime, Drama, Thriller, Action,en,2012-12-20,6.6,violence;secret;six,Jack Reacher
Comedy, Drama,it,2022-03-04,6.7,twist;fathers;plot,The Invisible Thread
Drama, Action, Thriller,en,2021-08-11,5.9,escalates;difference;running,SAS: Red Notice
Adventure, Fantasy, Drama,en,2020-09-04,7.0,strength;potential;steps,Mulan
Comedy, Romance,en,2022-02-10,6.1,thought;biggest;emma,I Want You Back
Adventure, Fantasy, Action,en,2006-07-06,7.3,davy;eternal;sparrow,Pirates of the Caribbean: Dead Man's Chest
Action,en,2009-09-29,6.5,revenge;raizo;very,Ninja Assassin
Crime, Drama, Comedy,en,2013-12-25,8.0,infiltration;street;based,The Wolf of Wall Street
Animation, Adventure, Fantasy, Family, TV Movie,en,2021-12-30,7.4,body;city;hilda,Hilda and the Mountain King
Action, Adventure, Drama,ja,2021-06-04,7.8,heart;huge;assassin,Rurouni Kenshin: The Beginning
Action, Adventure, Comedy,ml,2021-12-24,7.2,superhero;if;lightning,Minnal Murali
Animation, Adventure, Fantasy, Action, Family,ja,2019-07-12,6.7,wants;artificially;brock,Pokémon: Mewtwo Strikes Back - Evolution
Animation, Action, Adventure, Fantasy,ja,2021-07-30,7.0,deal;organization;king,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon
Science Fiction, Action, Adventure, Comedy,en,2014-08-07,5.9,threatens;york;mutated,Teenage Mutant Ninja Turtles
Drama, Romance, Thriller,en,2015-02-11,5.9,little;campus;powerful,Fifty Shades of Grey
Action,en,2021-11-15,6.6,certain;syndicate;lured,Never Back Down: Revolt
Animation, Family, Comedy, Fantasy,en,2021-01-15,8.1,longing;teen;childhood,Wish Dragon
